Order_ID,Order_Date,Order_Month_Name,Order_Day,Order_Day_of_Week,Customer_ID,Customer_Name,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Total_Amount,Order_Value_Flag,Payment_Method,Order_Status,Is_Successful
O0001,2026-02-19,February,19,Thursday,C027,Harsh Vardhan,Noida,North,Premium,P019,Cricket Bat,Sports,BatPro,2,2499,4998,High,Credit Card,Delivered,True
O0002,2026-01-25,January,25,Sunday,C006,Ishita Gupta,Bengaluru,South,Premium,P003,Wireless Mouse,Electronics,TechGear,2,899,1798,Normal,Debit Card,Delivered,True
O0003,2026-02-26,February,26,Thursday,C015,Karan Joshi,Chandigarh,North,Regular,P004,Smart Watch,Electronics,FitTech,1,3299,3299,High,Cash on Delivery,Delivered,True
O0004,2026-03-04,March,4,Wednesday,C024,Maryam Khan,Hyderabad,South,Regular,P015,Machine Learning Basics,Books,AIPress,3,999,2997,Normal,Net Banking,Delivered,True
O0005,2026-03-29,March,29,Sunday,C025,Reyansh Jain,Kolkata,East,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,5,3499,17495,High,Credit Card,Delivered,True
O0006,2026-02-09,February,9,Monday,C003,Rohan Mehta,Mumbai,West,Premium,P018,Football,Sports,SportZone,3,799,2397,Normal,UPI,Delivered,True
O0007,2026-02-10,February,10,Tuesday,C011,Vivaan Kapoor,Jaipur,North,New,P003,Wireless Mouse,Electronics,TechGear,3,899,2697,Normal,UPI,Delivered,True
O0008,2026-03-27,March,27,Friday,C020,Priya Menon,Chennai,South,Premium,P005,Power Bank,Electronics,VoltPlus,4,1199,4796,High,Debit Card,Delivered,True
O0009,2026-03-13,March,13,Friday,C024,Maryam Khan,Hyderabad,South,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,2,3499,6998,High,UPI,Cancelled,False
O0010,2026-03-05,March,5,Thursday,C026,Fatima Noor,Srinagar,North,Regular,P005,Power Bank,Electronics,VoltPlus,2,1199,2398,Normal,Debit Card,Shipped,True
O0011,2026-01-26,January,26,Monday,C022,Alina Shah,Pune,West,New,P020,Dumbbell Set,Sports,StrongFit,2,1999,3998,High,Net Banking,Cancelled,False
O0012,2026-02-03,February,3,Tuesday,C017,Dev Patel,Ahmedabad,West,Premium,P008,Sneakers,Clothing,StepUp,5,2999,14995,High,Credit Card,Delivered,True
O0013,2026-03-22,March,22,Sunday,C005,Kabir Ali,Lucknow,North,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3,3499,10497,High,Cash on Delivery,Delivered,True
O0014,2026-02-20,February,20,Friday,C007,Aditya Verma,Pune,West,Regular,P010,Electric Kettle,Home & Kitchen,KitchenPro,4,1499,5996,High,UPI,Shipped,True
O0015,2026-02-16,February,16,Monday,C027,Harsh Vardhan,Noida,North,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,3,4999,14997,High,Credit Card,Cancelled,False
O0016,2026-02-25,February,25,Wednesday,C011,Vivaan Kapoor,Jaipur,North,New,P008,Sneakers,Clothing,StepUp,3,2999,8997,High,UPI,Delivered,True
O0017,2026-02-27,February,27,Friday,C023,Nikhil Sood,Chandigarh,North,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4,4999,19996,High,Net Banking,Delivered,True
O0018,2026-01-05,January,5,Monday,C003,Rohan Mehta,Mumbai,West,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4,4999,19996,High,Net Banking,Cancelled,False
O0019,2026-03-05,March,5,Thursday,C019,Yusuf Dar,Srinagar,North,New,P017,Yoga Mat,Sports,FitLife,4,899,3596,High,Net Banking,Delivered,True
O0020,2026-02-06,February,6,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,3,699,2097,Normal,Credit Card,Delivered,True
O0021,2026-01-09,January,9,Friday,C026,Fatima Noor,Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,1,2499,2499,Normal,Debit Card,Cancelled,False
O0022,2026-01-02,January,2,Friday,C023,Nikhil Sood,Chandigarh,North,Premium,P014,Data Science Handbook,Books,DataPress,4,899,3596,High,Net Banking,Delivered,True
O0023,2026-02-04,February,4,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P013,Python Programming,Books,TechBooks,3,749,2247,Normal,Debit Card,Delivered,True
O0024,2026-02-20,February,20,Friday,C030,Riya Kapoor,Bengaluru,South,Premium,P001,Wireless Headphones,Electronics,SoundMax,4,1499,5996,High,Net Banking,Delivered,True
O0025,2026-01-22,January,22,Thursday,C026,Fatima Noor,Srinagar,North,Regular,P008,Sneakers,Clothing,StepUp,2,2999,5998,High,Cash on Delivery,Cancelled,False
